AUDSID,SID,SERIAL,ORACLE_USER,OS_USER,PROGRAM,MODULE,ACTION,PROCESS,LOCK_MODE_HELD,LOCK_MODE_REQUESTED,LOCK_TYPE,OBJECT_OWNER,OBJECT_NAME,OBJECT_TYPE,LOCK_TIME_IN_MINUTES
25639789,'465','3247','TASY','oracle','JDBC Thin Client','02100 CorSis_F1',,'1234','Row Exclusive','None','TO','TASY','W_LOCALIZAR_MATERIAL','TABLE',280,32
25754717,'96','1693','TASY','oracle','JDBC Thin Client','01892 ',,'1234','Row Exclusive','None','TO','TASY','W_LOCALIZAR_MATERIAL','TABLE',323,75
25639789,'465','3247','TASY','oracle','JDBC Thin Client','02100 CorSis_F1',,'1234','Row Exclusive','None','TO','TASY','W_HIGIENIZACAO','TABLE',20121,37
25639789,'465','3247','TASY','oracle','JDBC Thin Client','02100 CorSis_F1',,'1234','Row Exclusive','None','TO','TASY','W_GE_TEMP','TABLE',26094,15
25639789,'465','3247','TASY','oracle','JDBC Thin Client','02100 CorSis_F1',,'1234','Row Exclusive','None','TO','TASY','W_GESTAO_EXAME','TABLE',26094,15
25639789,'465','3247','TASY','oracle','JDBC Thin Client','02100 CorSis_F1',,'1234','Row Exclusive','None','TO','TASY','W_REP_HORARIOS_T','TABLE',26099,55
25639789,'465','3247','TASY','oracle','JDBC Thin Client','02100 CorSis_F1',,'1234','Row Exclusive','None','TO','TASY','W_REP_T','TABLE',26099,55
